state,psid_id,edu_dens,count,sq_miles
Alabama,1,0.0025418719,129,50750
Alaska,50,6.13632458702535E-05,35,570374
Arizona,2,0.0013639323,155,113642
Arkansas,3,0.0020739318,108,52075
California,4,0.0079885621,1246,155973
Colorado,5,0.0016485106,171,103730
Connecticut,6,0.0235294118,114,4845
Delaware,7,0.0117647059,23,1955
Florida,9,0.0081300813,439,53997
Georgia,10,0.0036257532,210,57919
Hawaii,51,0.006694691,43,6423
Idaho,11,0.0003987867,33,82751
Illinois,12,0.0070332596,391,55593
Indiana,13,0.0048787287,175,35870
Iowa,14,0.0019149888,107,55875
Kansas,15,0.0012099287,99,81823
Kentucky,16,0.0041528239,165,39732
Louisiana,17,0.0039709865,173,43566
Maine,18,0.0019439495,60,30865
Maryland,19,0.015140665,148,9775
Massachusetts,20,0.033299311,261,7838
Michigan,21,0.0053414457,302,56539
Minnesota,22,0.0021226622,169,79617
Mississippi,23,0.0014707763,69,46914
Missouri,24,0.0035124387,242,68898
Montana,25,0.0003709912,54,145556
Nebraska,26,0.0008845183,68,76878
Nevada,27,0.0007012367,77,109806
New Hampshire,28,0.0047942914,43,8969
New Jersey,29,0.0279013344,207,7419
New Mexico,30,0.0005026161,61,121365
New York,31,0.0133830256,632,47224
North Carolina,32,0.0038589433,188,48718
North Dakota,33,0.0004348204,30,68994
Ohio,34,0.0094254389,386,40953
Oklahoma,35,0.0023005577,158,68679
Oregon,36,0.0013020426,125,96003
Pennsylvania,37,0.0121374386,544,44820
Rhode Island,38,0.0354066986,37,1045
South Carolina,39,0.0032214141,97,30111
South Dakota,40,0.0004347941,33,75898
Tennessee,41,0.004633673,191,41220
Texas,42,0.0019319319,506,261914
Utah,43,0.0007302113,60,82168
Vermont,44,0.0034598335,32,9249
Virginia,45,0.0056063438,222,39598
Washington,46,0.0024631282,164,66582
West Virginia,47,0.0041101009,99,24087
Wisconsin,48,0.0024303126,132,54314
Wyoming,49,0.0001750682,17,97105
